Time : 45:07.053, Frame: 1832.000, Current FPS : 47.916, Average FPS : 47.512, Total FPS : 58.189
Time : 45:07.569, Frame: 1856.000, Current FPS : 46.453, Average FPS : 47.406, Total FPS : 57.999
Time : 45:08.072, Frame: 1881.000, Current FPS : 49.720, Average FPS : 47.638, Total FPS : 57.871
Time : 45:08.592, Frame: 1904.000, Current FPS : 44.240, Average FPS : 47.298, Total FPS : 57.657
Time : 45:09.111, Frame: 1927.000, Current FPS : 44.280, Average FPS : 46.996, Total FPS : 57.450
Time : 45:09.633, Frame: 1949.000, Current FPS : 42.163, Average FPS : 46.513, Total FPS : 57.215
Time : 45:10.136, Frame: 1967.000, Current FPS : 35.785, Average FPS : 45.440, Total FPS : 56.904
Time : 45:10.653, Frame: 1985.000, Current FPS : 34.815, Average FPS : 44.378, Total FPS : 56.578
Time : 45:11.173, Frame: 2002.000, Current FPS : 32.717, Average FPS : 43.211, Total FPS : 56.230
Time : 45:11.692, Frame: 2023.000, Current FPS : 40.419, Average FPS : 42.932, Total FPS : 56.002
Time : 45:12.210, Frame: 2041.000, Current FPS : 34.749, Average FPS : 42.114, Total FPS : 55.702
Time : 45:12.716, Frame: 2057.000, Current FPS : 31.651, Average FPS : 41.068, Total FPS : 55.375
Time : 45:13.237, Frame: 2074.000, Current FPS : 32.640, Average FPS : 40.225, Total FPS : 55.060
Time : 45:13.757, Frame: 2092.000, Current FPS : 34.623, Average FPS : 39.665, Total FPS : 54.782
Time : 45:14.260, Frame: 2112.000, Current FPS : 39.733, Average FPS : 39.672, Total FPS : 54.586
Time : 45:14.780, Frame: 2129.000, Current FPS : 32.721, Average FPS : 38.976, Total FPS : 54.297
Time : 45:15.300, Frame: 2147.000, Current FPS : 34.599, Average FPS : 38.539, Total FPS : 54.039
Time : 45:15.820, Frame: 2165.000, Current FPS : 34.578, Average FPS : 38.143, Total FPS : 53.787
Time : 45:16.325, Frame: 2183.000, Current FPS : 35.677, Average FPS : 37.896, Total FPS : 53.563
Time : 45:16.845, Frame: 2202.000, Current FPS : 36.504, Average FPS : 37.757, Total FPS : 53.348
Time : 45:17.363, Frame: 2221.000, Current FPS : 36.672, Average FPS : 37.648, Total FPS : 53.141
Time : 45:17.870, Frame: 2239.000, Current FPS : 35.536, Average FPS : 37.437, Total FPS : 52.930
Time : 45:18.388, Frame: 2257.000, Current FPS : 34.721, Average FPS : 37.166, Total FPS : 52.710
Time : 45:18.912, Frame: 2275.000, Current FPS : 34.472, Average FPS : 36.896, Total FPS : 52.489
Time : 45:19.430, Frame: 2292.000, Current FPS : 32.803, Average FPS : 36.487, Total FPS : 52.256
Time : 45:19.934, Frame: 2310.000, Current FPS : 35.701, Average FPS : 36.408, Total FPS : 52.068
Time : 45:20.452, Frame: 2329.000, Current FPS : 36.678, Average FPS : 36.435, Total FPS : 51.890
Time : 45:20.972, Frame: 2348.000, Current FPS : 36.547, Average FPS : 36.446, Total FPS : 51.715
Time : 45:21.489, Frame: 2368.000, Current FPS : 38.657, Average FPS : 36.667, Total FPS : 51.568
Time : 45:22.009, Frame: 2388.000, Current FPS : 38.515, Average FPS : 36.852, Total FPS : 51.422
Time : 45:22.512, Frame: 2402.000, Current FPS : 27.829, Average FPS : 35.950, Total FPS : 51.169
Time : 45:23.031, Frame: 2415.000, Current FPS : 25.017, Average FPS : 34.857, Total FPS : 50.883
Time : 45:23.551, Frame: 2429.000, Current FPS : 26.923, Average FPS : 34.063, Total FPS : 50.623
Time : 45:24.058, Frame: 2443.000, Current FPS : 27.639, Average FPS : 33.421, Total FPS : 50.383
Time : 45:24.579, Frame: 2458.000, Current FPS : 28.784, Average FPS : 32.957, Total FPS : 50.153
Time : 45:25.099, Frame: 2474.000, Current FPS : 30.739, Average FPS : 32.735, Total FPS : 49.949
Time : 45:25.603, Frame: 2488.000, Current FPS : 27.789, Average FPS : 32.241, Total FPS : 49.726
Time : 45:26.124, Frame: 2502.000, Current FPS : 26.903, Average FPS : 31.707, Total FPS : 49.491
Time : 45:26.643, Frame: 2516.000, Current FPS : 26.972, Average FPS : 31.233, Total FPS : 49.262
Time : 45:27.162, Frame: 2531.000, Current FPS : 28.910, Average FPS : 31.001, Total FPS : 49.057
Time : 45:27.666, Frame: 2543.000, Current FPS : 23.799, Average FPS : 30.281, Total FPS : 48.813
Time : 45:28.186, Frame: 2557.000, Current FPS : 26.922, Average FPS : 29.945, Total FPS : 48.597
